# FastQC theoretical GC content curve: Human Transcriptome (UCSC hg19)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0.001
11	0.001
12	0.001
13	0.003
14	0.004
15	0.008
16	0.012
17	0.025
18	0.04
19	0.064
20	0.107
21	0.162
22	0.225
23	0.323
24	0.428
25	0.53
26	0.69
27	0.849
28	0.972
29	1.132
30	1.276
31	1.45
32	1.559
33	1.716
34	1.866
35	2.004
36	2.175
37	2.341
38	2.432
39	2.58
40	2.683
41	2.732
42	2.788
43	2.834
44	2.833
45	2.824
46	2.814
47	2.808
48	2.754
49	2.772
50	2.744
51	2.711
52	2.695
53	2.668
54	2.611
55	2.643
56	2.599
57	2.539
58	2.507
59	2.438
60	2.38
61	2.257
62	2.074
63	1.921
64	1.769
65	1.576
66	1.419
67	1.243
68	1.091
69	0.925
70	0.78
71	0.639
72	0.523
73	0.432
74	0.357
75	0.306
76	0.257
77	0.223
78	0.181
79	0.155
80	0.124
81	0.104
82	0.082
83	0.062
84	0.045
85	0.032
86	0.024
87	0.014
88	0.01
89	0.006
90	0.004
91	0.002
92	0.001
93	0.001
94	0
95	0
96	0
97	0
98	0
99	0
100	0
