# FastQC theoretical GC content curve: Mouse Transcriptome (UCSC mm9)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0.001
11	0.001
12	0.001
13	0.001
14	0.003
15	0.007
16	0.011
17	0.021
18	0.032
19	0.049
20	0.073
21	0.118
22	0.159
23	0.209
24	0.273
25	0.345
26	0.424
27	0.531
28	0.632
29	0.722
30	0.825
31	0.96
32	1.064
33	1.213
34	1.314
35	1.459
36	1.636
37	1.835
38	1.98
39	2.185
40	2.373
41	2.539
42	2.75
43	2.933
44	3.151
45	3.329
46	3.529
47	3.636
48	3.761
49	3.842
50	3.944
51	3.943
52	3.931
53	3.876
54	3.793
55	3.65
56	3.469
57	3.262
58	2.954
59	2.651
60	2.371
61	2.047
62	1.757
63	1.466
64	1.18
65	0.954
66	0.775
67	0.63
68	0.526
69	0.423
70	0.358
71	0.309
72	0.26
73	0.245
74	0.213
75	0.187
76	0.166
77	0.145
78	0.122
79	0.108
80	0.085
81	0.069
82	0.055
83	0.045
84	0.029
85	0.028
86	0.015
87	0.012
88	0.008
89	0.006
90	0.002
91	0.001
92	0
93	0.001
94	0
95	0
96	0
97	0
98	0
99	0
100	0
